Category,Name,Url,WordCount,ScriptCount,StylesheetCount,LinkCount,FormCount,ImageCount,VideoCount,IframeCount,MetaDescription,Title,CookieStatus
ArtMuseums,National Gallery of Art,https://www.nga.gov/,589,30,6,130,3,2,0,1,"The National Gallery of Art serves the nation by welcoming all people to explore and experience art, creativity, and our shared humanity. Admission is always free.",National Gallery of Art,No
ArtMuseums,Tate Modern,https://www.tate.org.uk/visit/tate-modern,2798,18,1,176,2,28,0,3,Explore modern and contemporary art from around the world,Tate Modern | Tate,Yes
ArtMuseums,The Art Institute of Chicago,https://www.artic.edu/,896,3,4,235,3,45,1,1,"Located downtown by Millennium Park, this top art museum is TripAdvisor's #1 Chicago attraction—a must when visiting the city.",Home | The Art Institute of Chicago,No
ArtMuseums,The Getty Center,https://www.getty.edu/,578,14,0,108,0,8,0,1,"Visit our Los Angeles museums and library, interact with art, and access free research tools.",Getty: Resources for Visual Art and Cultural Heritage,No
ArtMuseums,The Louvre,https://www.louvre.fr/,973,32,19,105,0,39,0,0,"Préparez votre visite, découvrez les lieux emblématiques du palais et les collections du musée et suivez l'actualité du Louvre et des Tuileries.",Site officiel du musée du Louvre,No
ArtMuseums,The Metropolitan Museum of Art,https://www.metmuseum.org/,710,40,11,143,2,46,0,0,"The Met presents over 5,000 years of art from around the world for everyone to experience and enjoy.",The Metropolitan Museum of Art,No
ArtMuseums,The Vatican Museums,https://www.museivaticani.va/,2,8,0,1,0,0,0,0,Musei Vaticani,Musei Vaticani,No
AutoManufacturers,Audi,https://www.audiusa.com/,441,15,1,105,0,29,0,0,"Explore the full lineup of Audi Sport, SUVs, sedans, e-tron models & more. Build your own, search inventory and explore current special offers.","Audi | Luxury sedans, SUVs, convertibles, electric vehicles & more",No
AutoManufacturers,Chevrolet,https://www.chevrolet.com/,875,20,6,313,2,129,0,0,"Official Chevrolet site: see Chevy cars, trucks, crossovers & SUVs - see photos/videos, find vehicles, compare competitors, build your own Chevy & more.","Chevrolet Cars, Trucks, SUVs, Crossovers and Vans",No
AutoManufacturers,Hyundai,https://www.hyundaiusa.com/,4091,18,5,602,7,396,0,1,"Welcome to the official site of Hyundai USA. Explore cars, SUVs, electric vehicles, features, offers, inventory and dealer info. Click here to get started!","Hyundai USA: Cars, SUVs, & Electric Vehicles | Official Site",Yes
AutoManufacturers,Kia,https://www.kia.com/us/en,17,17,2,302,0,89,0,1,"Kia America, Inc. provides a wide range of cars that meet your lifestyle. Browse our luxury or sports sedans, hybrids, electric cars, SUVs & hatchbacks.","SUVs, Sedans, Sports Cars, Hybrids, EVs & Luxury Cars | Kia",No
AutoManufacturers,Mercedes-Benz,https://www.mercedes-benz.com/,3,13,2,0,0,0,0,1,"Innovative concepts, exceptional collaborations, background stories. Be inspired.",Mercedes-Benz Brand Experience,Yes
AutoManufacturers,Nissan,https://www.nissanusa.com/,815,36,10,209,1,145,1,3,"Shop online for the newest Nissan cars, trucks, crossovers, SUVs and electric vehicles. Explore offers, compare models, calculate payments and more.","New Cars, SUVs, Trucks & Electric Vehicles | Nissan USA",No
AutoManufacturers,Toyota,https://www.toyota.com/,2126,40,26,280,0,81,10,0,"Explore the newest Toyota trucks, cars, SUVs, hybrids and minivans. See photos, compare models, get tips, calculate payments, and more.","New Cars, Trucks, SUVs & Hybrids | Toyota Official Site",No
AutoManufacturers,Volkswagen,https://www.vw.com/,1031,21,0,160,0,69,0,0,"Explore the latest Volkswagen vehicle models, discover exclusive offers, stay updated with the latest information, and check out pricing details.",VW.com | Official Home of Volkswagen Cars & SUVs,No
BoardGames,AEG,https://www.alderac.com/,1047,69,88,162,2,66,0,1,"Welcome to Alderac Entertainment Group's website, where adventure awaits! Here, you'll find a world of imagination and possibility, with an endless array of games and products designed to ignite your passion for gaming.",Home Page - ALDERAC ENTERTAINMENT GROUP,No
BoardGames,Gamewright,https://www.gamewright.com/,183,11,8,78,1,1,0,2,Gamewright was founded by four parents whose kids wanted great games. Our mission: Create the highest quality family games with outstanding play-value.,"Gamewright | Award-winning Family Games | Board, Dice, Party",No
BoardGames,Indie Boards & Cards,https://www.indieboardsandcards.com/,322,45,21,67,1,52,0,0,,Home - Indie Boards and Cards,Yes
BoardGames,Renegade Game Studios,https://www.renegadegamestudios.com/,1540,62,2,371,3,86,0,1,Renegade Games Online Store,Renegade Games Studios,No
BoardGames,Stonemaier Games,https://stonemaiergames.com/,1353,35,18,330,2,23,0,0,,"Stonemaier Games – We believe in creating memorable, beautiful, fun games.",Yes
BoardGames,Stronghold Games,https://strongholdgames.com/,207,45,20,51,1,39,0,0,,Home - Stronghold Games,Yes
BoardGames,The OP,https://www.theop.games/,480,55,3,232,4,44,0,1,"We are The Op Games | usaopoly, a leading developer and manufacturer of board games and puzzles. We've been producing the world's most beloved games ""with a twist"" under license from Hasbro, since 1994. Party games | Strategy Games | clue board game | monopoly board games | Puzzles | Harry Potter | Disney | Marvel","The Op Games | usaopoly | Board Games, Puzzles, Dice and More!",No
Clothing,Hugo Boss,https://www.hugoboss.com/,636,56,4,110,1,34,0,1,Discover the latest HUGO BOSS collection for men and women here in the Official Online Shop. Get inspired and shop these exclusive designs now!,HUGO BOSS Official Online Shop | Menswear & Womenswear,Yes
Clothing,J.Crew,https://www.jcrew.com/,1070,36,11,259,2,83,0,0,"Shop JCrew.com for the Highest Quality Women's and Men's Clothing and see the entire selection of Children's Clothing, Cashmere Sweaters, Women's Dresses and Shoes, Men's Suits, Jackets, Accessories and more.","J.Crew: Clothes, Shoes & Accessories For Women, Men & Kids",Yes
Clothing,Nike,https://www.nike.com/,978,56,5,424,1,23,0,1,"Nike delivers innovative products, experiences and services to inspire athletes.",Nike. Just Do It. Nike.com,No
Clothing,Patagonia,https://www.patagonia.com/,1423,46,8,480,2,26,1,0,"Patagonia is a designer of outdoor clothing and gear for the silent sports: climbing, surfing, skiing and snowboarding, fly fishing, and trail running",Patagonia Outdoor Clothing & Gear,Yes
Clothing,Ralph Lauren,https://www.ralphlauren.com/,7,2,0,0,0,0,0,0,px-captcha,Access to this page has been denied,No
Clothing,Tom Ford,https://www.tomford.com/,65,2,1,16,0,2,2,1,"Discover the world of TOM FORD. Explore the latest fashion, accessories, eyewear and beauty. Shop at the official online store.",TOM FORD Online Store,No
CoffeeRoasters,Bird Rock Coffee Roasters,https://birdrockcoffee.com/,170,53,4,70,3,25,0,1,,Bird Rock Coffee Roasters,No
CoffeeRoasters,Counter Culture Coffee,https://counterculturecoffee.com/,2277,135,5,237,89,168,0,2,Counter Culture Coffee is a specialty coffee roaster sourcing exceptional single-origin and specialty coffee. Fresh-roasted coffee to your doorstep.,Counter Culture Coffee,No
CoffeeRoasters,Equator Coffees,https://www.equatorcoffees.com/,852,59,4,215,7,13,0,1,"Equator Coffees is a coffee roaster, cafe operator, and coffee farm owner. Founded in 1995, Equator is known for a commitment to sustainably harvested coffee.",Equator Coffees | Sustainable Coffee Roaster | Order Coffee Online,No
CoffeeRoasters,Intelligentsia Coffee,https://www.intelligentsiacoffee.com/,644,44,2,65,2,14,4,1,"Thoughtfully sourced, freshly roasted and proudly poured. We work every day to bring you the finest direct trade and in season coffee available. Established in 1995, we are pioneers of the specialty coffee industry and source extraordinary coffees from around the world.",Fresh Roasted Coffee | Intelligentsia | Illuminating Coffee,No
CoffeeRoasters,La Colombe Coffee Roasters,https://www.lacolombe.com/,582,72,2,150,3,23,0,1,Looking to buy coffee online? La Colombe Coffee Roasters has you covered with our wide variety of products and brewing equipment. Shop now for your coffee needs.,Coffee Roasters - Buy Coffee Online - La Colombe,Yes
CoffeeRoasters,Onyx Coffee Lab,https://onyxcoffeelab.com/,695,59,6,76,2,19,1,1,"Join our pilgrimage— seeking quality, truth and accountability in coffee. We journey to find the finest and most unique coffees in the world.",Onyx Coffee Lab - Coffee Roasters • Café • Barista Training,No
CoffeeRoasters,Peet's Coffee,https://www.peets.com/,5080,762,3,203,49,254,0,0,"Since 1966, Peet's Coffee has sourced and offered superior coffees and teas and adhering to strict high-quality and taste standards. Shop today.","Peet's Coffee | The Original Craft Coffee, Est. 1966",No
CoffeeRoasters,Stumptown Coffee Roasters,https://www.stumptowncoffee.com/,366,51,2,76,2,21,0,0,"Find the perfect holiday gift ideas and Christmas shopping deals on premium coffee and gear. Stumptown Coffee Roasters highest quality fresh roasted coffee; learn to brew, subscribe, or visit us in Portland, New York, and Los Angeles.",Stumptown Coffee Roasters | Christmas Shopping Deals on Premium Coffee,Yes
CoffeeRoasters,Verve Coffee Roasters,https://www.vervecoffee.com/,2198,59,1,200,2,116,0,1,"Order Coffee Online from Verve Coffee Roasters. Hand-roasted daily, enjoy craft coffees with unique tasting & roasting profiles. Free Shipping on orders $35+.",Order Coffee Online | Fresh Roasted Daily | Verve Coffee Roasters,Yes
Computer,NVIDIA,https://www.nvidia.com/en-us/,5355,26,3,955,0,86,1,0,"NVIDIA invents the GPU and drives advances in AI, HPC, gaming, creative design, autonomous vehicles, and robotics.",World Leader in Artificial Intelligence Computing | NVIDIA,Yes
Computers,AMD,https://www.amd.com/,1502,9,6,399,0,53,0,0,"AMD delivers leadership high-performance and adaptive computing solutions to advance data center AI, AI PCs, intelligent edge devices, gaming, & beyond.",AMD × together we advance_AI,No
Computers,Acer,https://www.acer.com/,649,22,4,310,0,43,1,1,"Shop the latest Acer products, from Chromebooks, laptops, monitors, desktop PCs, and projectors for office, home, and entertainment use.","Acer Laptops, Desktops, Chromebooks, Monitors & Projectors | Acer United States",No
Computers,Apple,https://www.apple.com/,932,17,7,121,1,0,0,0,,Apple,No
Computers,Asus,https://www.asus.com/,295,28,14,103,0,27,0,2,"Driven by innovation & committed to quality, ASUS has a wide selection of best in class products. Find & buy a laptop, phone, router, monitor, motherboard & more",ASUS Global,No
Computers,HP,https://www.hp.com/,1429,20,10,513,0,18,0,1,"Learn about HP laptops, pc desktops, printers, accessories and more at the Official HP® Website.","Laptop Computers, Desktops, Printers, Ink & Toner  | HP® Official Site",No
Computers,Lenovo,https://www.lenovo.com/,1555,40,6,299,1,102,0,1,"Get the best deals on Lenovo laptops, tablets and PCs at our computer store. Shop now and save big!call our sales team ☎ 1-855-2-LENOVO (1-855-253-6686)","Lenovo Official US Site | Laptops, PCs, Tablets & Servers | Lenovo US",No
DefenseContractors,Boeing,https://www.boeing.com/defense/,599,10,3,222,2,34,0,1,"Digitally advanced, simply and efficiently produced, and intelligently supported solutions for the modern warfighter",Defense,No
DefenseContractors,General Dynamics,https://www.gd.com/,240,15,1,40,1,3,0,1,"General Dynamics is a global aerospace and defense company. Our broad portfolio of products and services includes business aviation; combat vehicles, weapons systems and munitions; C4ISR and IT solutions; and shipbuilding.",General Dynamics | Home,No
DefenseContractors,Huntington Ingalls Industries,https://hii.com/,850,43,35,177,3,3,9,0,,HII,No
DefenseContractors,L3Harris Technologies,https://www.l3harris.com/,410,8,2,32,0,12,2,1,"At L3Harris, we anticipate and mitigate risk with agile end-to-end solutions that meet our customers' mission-critical needs across all domains.",L3Harris® Fast. Forward.,No
DefenseContractors,Leonardo S.p.A.,https://www.leonardocompany.com/en/home,1443,32,7,463,2,77,2,1,"Leader in Aerospace, Defence & Security","Aerospace, Defence and Security | Leonardo",No
DefenseContractors,Lockheed Martin,https://www.lockheedmartin.com/,910,6,3,271,0,48,1,1,"Lockheed Martin is a leading global security, defense and aerospace contractor, ensuring those we serve always stay ahead of ready.",Leading Aerospace and Defense | Lockheed Martin,No
DefenseContractors,Northrop Grumman,https://www.northropgrumman.com/,290,22,3,62,1,15,1,2,"Northrop Grumman solves the toughest problems in space, aeronautics, defense and cyberspace to meet the ever evolving needs of our customers worldwide. Our 95,000 employees define possible every day using science, technology and engineering to create and deliver advanced systems, products and services.",Home | Northrop Grumman,Yes
DefenseContractors,RTX Corporation,https://www.rtx.com/,406,15,10,90,2,13,1,1,"At RTX, we're accelerating ideas to solve some of the world's biggest challenges by bringing together the brightest, most innovative minds across aviation, space and defense.",Home | RTX,No
DefenseContractors,Thales Group,https://www.thalesgroup.com/en,774,3,2,124,1,4,0,2,"From Aerospace, Space, Defence to Security & Transportation, Thales helps its customers to create a safer world by giving them the tools they need to perform critical tasks",Thales - Building a future we can all trust,No
DeptStores,Bloomingdale's,https://www.bloomingdales.com/,2567,25,2,879,1,26,0,0,"Free shipping & returns available as well as curbside pickup! Shop online for designer clothing, handbags, accessories, items for the home & more!","Bloomingdale's | Designer Clothing, Shoes, Handbags & More",No
DeptStores,Dillard's,https://www.dillards.com/,357,37,7,49,3,1,0,0,"Shop Dillard's online for dresses, shoes, clothing, makeup, handbags, menswear and more from top brands. Return in store or by mail. Free shipping over $150","Dillard's | Clothing, Shoes, Accessories, Cosmetics, Kids, Home",No
DeptStores,JCPenney,https://www.jcpenney.com/,555,12,2,89,1,53,0,0,"Shop JCPenney for great deals on clothing and shoes for the family, bedding, home décor, jewelry, and beauty products. Easy returns & FREE shipping available!","JCPenney: Clothing, Bed & Bath, Home Decor, Jewelry & Beauty",Yes
DeptStores,Kohl's,https://www.kohls.com/,1152,52,6,110,1,20,0,0,"Enjoy free shipping and easy returns every day at Kohl's! Find great savings on clothing, shoes, toys, home décor, appliances and electronics for the whole family.","Kohl's | Shop Clothing, Shoes, Home, Kitchen, Bedding, Toys & More",No
DeptStores,Macy's,https://www.macys.com/,358,26,2,49,0,5,0,0,"Macy's - FREE Shipping at Macys.com. Macy's has the latest fashion brands on Women's and Men's Clothing, Accessories, Jewelry, Beauty, Shoes and Home Products.",Macy's - Shop Fashion Clothing & Accessories - Official Site - Macys.com,No
DeptStores,Neiman Marcus,https://www.neimanmarcus.com/,1425,26,5,606,4,32,0,0,"Free Shipping & Free Returns at Neiman Marcus. Shop the latest styles from top designers including Michael Kors, Tory Burch, Burberry, Christian Louboutin, kate spade & more.","Designer Clothing, Shoes, Handbags, & Beauty | Neiman Marcus",Yes
DeptStores,Nordstrom,https://www.nordstrom.com/,0,2,0,0,0,0,0,0,,,No
