Url,Word,WordCount,Tokenized
https://github.com/,15000,1,['15000']
https://github.com/,022024,1,['022024']
https://github.com/,1,1,['1']
https://github.com/,17000,1,['17000']
https://github.com/,198,1,['198']
https://github.com/,2,1,['2']
https://github.com/,2023,1,['2023']
https://github.com/,2024,1,['2024']
https://github.com/,2024,1,['2024']
https://github.com/,2025,1,['2025']
https://github.com/,247,1,['247']
https://github.com/,25,1,['25']
https://github.com/,28,1,['28']
https://github.com/,5,1,['5']
https://github.com/,50,2,['50']
https://github.com/,55,1,['55']
https://github.com/,72,1,['72']
https://github.com/,7X,2,['7X']
https://github.com/,7x,1,['7x']
https://github.com/,87,1,['87']
https://github.com/,90,1,['90']
https://github.com/,Sentry,2,['Sentry']
https://github.com/,A,7,[]
https://github.com/,AI,6,['AI']
https://github.com/,AIassisted,1,['AIassisted']
https://github.com/,AIpowered,4,['AIpowered']
https://github.com/,API,1,['API']
https://github.com/,About,1,[]
https://github.com/,Accelerate,1,['Accelerate']
https://github.com/,Actions,2,['Actions']
https://github.com/,Advanced,2,['Advanced']
https://github.com/,All,1,[]
https://github.com/,Application,1,['Application']
https://github.com/,Apply,1,['Apply']
https://github.com/,Assistants,1,['Assistants']
https://github.com/,Autofix,1,['Autofix']
https://github.com/,Autofix,1,['Autofix']
https://github.com/,Automate,3,['Automate']
https://github.com/,Automotive,1,['Automotive']
https://github.com/,Available,1,['Available']
https://github.com/,Become,1,['Become']
https://github.com/,Below,1,[]
https://github.com/,Below,1,[]
https://github.com/,Blog,2,['Blog']
https://github.com/,Build,4,['Build']
https://github.com/,Builtin,1,['Builtin']
https://github.com/,By,7,[]
https://github.com/,CICD,1,['CICD']
https://github.com/,CICD,1,['CICD']
https://github.com/,CLI,1,['CLI']
https://github.com/,Cancel,2,['Cancel']
https://github.com/,Careers,1,['Careers']
https://github.com/,Chat,1,['Chat']
https://github.com/,Check,1,['Check']
https://github.com/,Clear,1,['Clear']
https://github.com/,Code,5,['Code']
https://github.com/,Codespaces,4,['Codespaces']
https://github.com/,Collaborate,3,['Collaborate']
https://github.com/,Collections,1,['Collections']
https://github.com/,Community,1,['Community']
https://github.com/,Company,1,['Company']
https://github.com/,Compare,1,['Compare']
https://github.com/,Contact,1,['Contact']
https://github.com/,Copilot,19,['Copilot']
https://github.com/,Create,4,['Create']
https://github.com/,Customer,2,['Customer']
https://github.com/,Dependabot,1,['Dependabot']
https://github.com/,Dependencies,1,['Dependencies']
https://github.com/,Desktop,1,['Desktop']
https://github.com/,Detect,1,['Detect']
https://github.com/,DevOps,2,['DevOps']
https://github.com/,DevSecOps,1,['DevSecOps']
https://github.com/,Developer,1,['Developer']
https://github.com/,Development,1,['Development']
https://github.com/,Discover,3,['Discover']
https://github.com/,Discussions,3,['Discussions']
https://github.com/,Dismiss,1,['Dismiss']
https://github.com/,Display,1,['Display']
https://github.com/,Dive,1,['Dive']
https://github.com/,Do,1,[]
https://github.com/,Docker,1,['Docker']
https://github.com/,Docs,1,['Docs']
https://github.com/,Documentation,1,['Documentation']
https://github.com/,Download,1,['Download']
https://github.com/,Duolingo,1,['Duolingo']
https://github.com/,Ebooks,1,['Ebooks']
https://github.com/,Edit,1,['Edit']
https://github.com/,Education,1,['Education']
https://github.com/,Enter,2,['Enter']
https://github.com/,Enterprise,3,['Enterprise']
https://github.com/,Enterprisegrade,3,['Enterprisegrade']
https://github.com/,Enterprises,1,['Enterprises']
https://github.com/,Executive,1,['Executive']
https://github.com/,Explore,6,['Explore']
https://github.com/,Extensions,2,['Extensions']
https://github.com/,Fabian,1,['Fabian']
https://github.com/,Faulhaber,1,['Faulhaber']
https://github.com/,Features,1,['Features']
https://github.com/,Figma,1,['Figma']
https://github.com/,Financial,2,['Financial']
https://github.com/,Find,2,['Find']
https://github.com/,Footnotes,1,['Footnotes']
https://github.com/,Forum,1,['Forum']
https://github.com/,From,1,[]
https://github.com/,Fund,2,['Fund']
https://github.com/,Gartner®,1,['Gartner®']
https://github.com/,Get,3,['Get']
https://github.com/,Git,1,['Git']
https://github.com/,GitHub,53,['GitHub']
https://github.com/,GitHub,1,['GitHub']
https://github.com/,GitHub’s,3,"['GitHub', '’']"
https://github.com/,Government,1,['Government']
https://github.com/,HTML,1,['HTML']
https://github.com/,Healthcare,1,['Healthcare']
https://github.com/,Hubot,2,['Hubot']
https://github.com/,I,1,[]
https://github.com/,Impact,1,['Impact']
https://github.com/,In,1,[]
https://github.com/,Inc,1,['Inc']
https://github.com/,Include,1,['Include']
https://github.com/,Inclusion,1,['Inclusion']
https://github.com/,Increase,1,['Increase']
https://github.com/,Insights,1,['Insights']
https://github.com/,Instagram,2,['Instagram']
https://github.com/,Instant,1,['Instant']
https://github.com/,Integrate,1,['Integrate']
https://github.com/,Issues,2,['Issues']
https://github.com/,It,1,[]
https://github.com/,Javascript,1,['Javascript']
https://github.com/,Join,2,['Join']
https://github.com/,Jump,3,['Jump']
https://github.com/,Keep,1,['Keep']
https://github.com/,Learn,3,['Learn']
https://github.com/,Learning,1,['Learning']
https://github.com/,Leverage,1,['Leverage']
https://github.com/,Libre,1,['Libre']
https://github.com/,LinkedIn,1,['LinkedIn']
https://github.com/,Links,1,['Links']
https://github.com/,List,2,['List']
https://github.com/,Magic,1,['Magic']
https://github.com/,Manage,3,['Manage']
https://github.com/,Manufacturing,1,['Manufacturing']
https://github.com/,Marketplace,1,['Marketplace']
https://github.com/,Menu,1,['Menu']
https://github.com/,Mercado,1,['Mercado']
https://github.com/,MercedesBenz,2,['MercedesBenz']
https://github.com/,Millions,1,['Millions']
https://github.com/,Mobile,2,['Mobile']
https://github.com/,Mona,1,['Mona']
https://github.com/,Name,1,['Name']
https://github.com/,Navigation,1,['Navigation']
https://github.com/,Newsroom,1,['Newsroom']
https://github.com/,Nonprofits,1,['Nonprofits']
https://github.com/,Notification,1,['Notification']
https://github.com/,OctoArcade,1,['OctoArcade']
https://github.com/,OctoInvaders,1,['OctoInvaders']
https://github.com/,On,2,[]
https://github.com/,Open,1,['Open']
https://github.com/,Optimize,1,['Optimize']
